train_acc,train_loss,val_acc,val_loss
0.03732631578947369,4.2752094,0.07200000000000001,3.9577215
0.0756842105263158,3.9370723,0.09280000000000001,3.8033557
0.10810526315789475,3.7323027,0.10759999999999997,3.6790361
0.15720000000000003,3.4732797,0.19839999999999997,3.2147799
0.20031578947368422,3.240129,0.1996,3.3773682
0.23536842105263162,3.0553825,0.23,3.0805938
0.27023157894736843,2.8726044,0.29600000000000004,2.6919296
0.2960631578947368,2.7376053,0.264,2.8869858
0.3156,2.6274157,0.3372,2.5355136
0.3418105263157895,2.5089855,0.35359999999999997,2.4764986
0.3548842105263158,2.432484,0.3048,2.7424917
0.3756631578947368,2.3433893,0.3984,2.2623377
0.395221052631579,2.2631764,0.3676,2.415003
0.40701052631578943,2.2082062,0.37079999999999996,2.3562837
0.4252000000000001,2.1290622,0.43079999999999996,2.0765874
0.43465263157894746,2.0877576,0.35200000000000004,2.5697677
0.44570526315789477,2.0361273,0.4536,2.0250032
0.46164210526315796,1.9660144,0.44880000000000003,2.0126908
0.46425263157894747,1.9531025,0.4012,2.2285037
0.4789894736842105,1.8928413,0.4644,1.9250413
0.4869263157894737,1.8589697,0.43080000000000007,2.126704
0.48997894736842107,1.8373727,0.4616,1.9999945
0.5060210526315789,1.7822249,0.4916,1.8462591
0.5090947368421053,1.7661562,0.41879999999999995,2.2342427
0.5137684210526317,1.7373198,0.48840000000000006,1.8556725
0.5258315789473684,1.6909627,0.4972,1.7830076
0.5271789473684211,1.687028,0.4376,2.194257
0.5376631578947368,1.6455792,0.504,1.7656423
0.5441894736842106,1.6097623,0.47919999999999996,1.974551
0.5428631578947368,1.61743,0.47,2.0153637
0.5564842105263159,1.5658453,0.5256,1.7385111
0.5573473684210527,1.5500712,0.486,2.0138595
0.5623789473684211,1.5419071,0.5292,1.6965222
0.573621052631579,1.5005511,0.5236000000000001,1.7265038
0.5726105263157895,1.5014405,0.4816,1.9575477
0.5770315789473685,1.4696727,0.5412,1.6799545
0.5822947368421053,1.4581045,0.5072,1.8267366
0.5814736842105263,1.4598507,0.5184,1.8202255
0.5917684210526316,1.4193839,0.5479999999999999,1.6311417
0.5937052631578947,1.4147532,0.46159999999999995,2.1150076
0.5952631578947368,1.4007698,0.5388000000000001,1.6954744
0.6027789473684211,1.3712691,0.5408,1.6834135
0.6024842105263158,1.383334,0.4991999999999999,1.9201645
0.6075368421052633,1.3496006,0.5611999999999999,1.6287838
0.6137473684210526,1.3368926,0.5508000000000001,1.7093141
0.6073263157894737,1.3446937,0.5248,1.7683632
0.6203157894736842,1.3039831,0.5720000000000001,1.5642906
0.6236421052631579,1.297508,0.5104000000000001,1.9178189
0.6210526315789474,1.3059926,0.5572,1.6099439
0.6305684210526317,1.2715201,0.5684,1.5765306
0.6254947368421053,1.279795,0.5272,1.791794
0.6323157894736843,1.2528297,0.5680000000000001,1.5887403
0.6352631578947369,1.2463613,0.5379999999999999,1.7613314
0.6336842105263157,1.2517122,0.55,1.6525738
0.6425052631578947,1.2152778,0.5720000000000001,1.5760751
0.642021052631579,1.2198083,0.5132,1.9259605
0.6398526315789472,1.2145985,0.5736,1.5929588
0.6491789473684211,1.1904736,0.582,1.5651203
0.6459368421052631,1.2043705,0.5188,1.906987
0.6507578947368421,1.1826859,0.5791999999999999,1.5651779
0.6531578947368422,1.1705581,0.5604,1.6944677
0.6534736842105263,1.1725377,0.5431999999999999,1.7235155
0.6593263157894736,1.1547792,0.5804,1.5567596
0.6589263157894737,1.1508259,0.5248,1.9098886
0.6595157894736842,1.1431407,0.5648000000000001,1.5926591
0.6665894736842105,1.1275684,0.5663999999999999,1.5926754
0.6636421052631579,1.1292064,0.5428,1.817615
0.6689684210526315,1.1172371,0.5720000000000001,1.6010104
0.670778947368421,1.1026084,0.5552,1.696095
0.6678105263157894,1.118231,0.5628,1.6941386
0.6762315789473684,1.0849516,0.5944,1.5128537
0.6750315789473684,1.0931854,0.5292,1.859355
0.6726526315789474,1.0944327,0.5692,1.5794793
0.681221052631579,1.0650566,0.584,1.5727115
0.6808631578947367,1.0714222,0.5416000000000001,1.8282151
0.6801052631578948,1.0614406,0.5808,1.5760341
0.6836,1.0540988,0.5604,1.6956134
0.6830736842105264,1.0542464,0.5532,1.7160513
0.6868842105263158,1.0395291,0.5924,1.5022817
0.6903368421052632,1.0344393,0.5444,1.8581719
0.6869473684210526,1.0371615,0.5751999999999999,1.5837215
0.6955157894736842,1.013456,0.5948,1.5737587
0.6914315789473684,1.0276637,0.5608,1.7453007
0.6979157894736842,1.0076164,0.5852,1.5583344
0.6979789473684209,0.9986902,0.5883999999999999,1.6273675
0.6974526315789473,1.0076586,0.5643999999999999,1.7268093
0.7013894736842105,0.9889964,0.5916,1.514926
0.7029473684210525,0.9878727,0.5656,1.7214415
0.7009052631578947,0.9943981,0.5964,1.5412909
0.707557894736842,0.9677055,0.598,1.553394
0.7028631578947369,0.98212993,0.5456,1.8916751
0.7061263157894736,0.97081876,0.5960000000000001,1.540965
0.7074947368421053,0.9559035,0.5828,1.6723889
0.7085684210526315,0.96526134,0.5744,1.6336122
0.7132210526315789,0.9466698,0.606,1.5384353
0.7156210526315788,0.93961865,0.5456,1.895661
0.7125263157894738,0.94533515,0.5936,1.6307647
0.7183157894736842,0.9301868,0.5896,1.5823652
0.7143789473684211,0.938915,0.5603999999999999,1.7929711
0.715578947368421,0.9251206,0.5963999999999999,1.55
